inputs,outputs
show me the closest location where i can get chinese food panda express is Panda_Express_distance away. give me the address.,"842 arrowhead way, there is Panda_Express_traffic_info but you should be able to reach there soon anyway"
find out the temperature in alhambra on alhambra_tuesday,this alhambra_tuesday in alhambra the temperature will be a low of 20f and a high of 30f
where do i live? your home address is home_address. thanks! you're welcome. would you like to set the car to navigate home? yes please.,directions will begin now.
give me directions to some nearby hotels we're The_Clement_Hotel_distance away from the clement hotel: send you its address on screen? yes please. the clement hotel is located at The_Clement_Hotel_addressnue. set the navigation please.  gps set for the clement hotel. please select the quickest route.,"i sent you the info with the quickest route on screen, drive carefully!"
"will it be dry in carson on carson_thursday? yes, the forecast predicts it will be dry on carson_thursday in carson. thank you.",you're welcome!
"where's the nearest shopping mall the nearest shopping center is the ravenswood shopping center, which is about Ravenswood_Shopping_Center_distance away. did you want to go there? yes please. setting gps to 434 arastradero road.  thanks for the help.",you're welcome.
show me this week's forecast,what location do you want the weather for?
"i need the quickest route to a rest stop. i am so tired. the westin is at The_Westin_address which is only a mile away.  that's good, thank you car, let's go there! you're welcome please set directions via the quickest route, and thanks again.",pulling up route on screen.
check forecast for today and tomorrow,what city can i give you today and tomorrow's forecast for?
what time is swimming and who is coming with me?,"you have two swimming activities schedules. the first is on monday at 7pm with jon, and the second is on the 10th at 6pm with your mother."
"get me the address to a chinese restaurant in the area. the closest chinese restaurant i have is located 1 mile away and the address is 593 arrowhead way. need more info? how is the traffic to there? unfortunately there is heavy traffic on our way mmm, patience, please send on my screen the info to get there, thank you","i updated the info on your map, you're welcome!"
check the weather what city would you like me to check the weather for? check if there will be hail in cleveland this weekend.  there will be hail on cleveland_sunday this weekend in cleveland.  thank you!,you're welcome!
what is the date of my opoptometrist_appointment_partyetrist appointment and who will be attending it?,two optometrist appointments are scheduled; one on optometrist_appointment_date with father and one on saturday with tom.
set my route to the closest mall,it would be a 1 mile drive through Topanga_Mall_traffic_info to topanga mall at 171 oak rd
"please give me an address and directions via the fastest route to a shopping center.  the closest shopping center is topanga mall on 171 oak rd. there is a car accident on the way, but it is only Topanga_Mall_distance away so it should be quick.  then pick the fastest route for me, please! i sent the info on your screen, drive carefully! thank you.",you're welcome
is there a starbucks here?,yes it is Starbucks_distance away.
schedule tennis for 10am on the tenth with tom,setting reminder for tennis at 10 am on the tenth with tom.
remind me to go to the optometrist at 5pm today with my father.,i will remind you to go to the optometrist today at 5pm with your father.
reminder for optometrist.  what info should i add to your optometrist reminder? it's at 6 pm on the 11th with my brother,reminder set for optometrist at 6 pm on the 11th with your brother.  is there anything else?
"car i need a hotel to get some sleep: is there any in the local area? travelers lodge is Travelers_Lodge_distance away. what is the address? travelers lodge is at Travelers_Lodge_address. set gps for the fastest route please. there is a Travelers_Lodge_traffic_info, i'm afraid we will have to take a longer route.. i sent the info on your screen thanks.",anytime!
what time is the group meeting,you have a group meeting on meeting_date at 10:00 am in room 102 with the executive team to discuss the company picnic.
what's the forecast going to be for today and tomorrow what city would you like the weather forecast for? i need to know if there will be frost in durham for today and tomorrow car. there will be no frost in durham today or tomorrow.  thank you!,you're welcome!
what is the date and time of my next lab appointment.,your next lab appointment is on lab_appointment_date at 10am.
is it gonna be humid in inglewood during the next week? it will not be humid in inglewood next week. thanks.,anytime.
where does my friend live? if you're talking about jack he lives 5 miles away while tom is 6 miles away. who do you want to go visit? which one has the least traffic to get there?,there is no traffic on jack's direction and heavy traffic to reach tom. will we go to visit jack?!
"check the weather what city would you like weather information about? check if it will drizzle in inglewood, weekly please.  it will not drizzle in inglewood this week. thank you.",anytime.
"directions to the nearest takeout chinese restaurant we are tai_pan_distance away from tai pan: does it sound good to you? sure, let's go there, just avoid all tai_pan_traffic_info, thanks!","i've sent on screen the address with the quickest route, drive carefully!"
set a reminder for me for the meeting next week at 5pm with my boss in which we will go over the budget.,okay a reminder is set for the budget meeting next week with your boss to go over the budget. what day of the week would you like the event scheduled for?
is it snowing next week,what city would you like to know if it will be snowing in?
"i need to find a gas station fast, we are about out.",the closest gas station is shell located Shell_distance away.
is it currently windy in fresno?,it is currently cloudy in fresno - i do not have wind data.
please schedule a swimming activity tuesday at 5pm with martha.,"okay, scheduling a swimming activity with martha for tuesday at 5pm."
find out if it's going to be cloudy next week which city are you wondering about the cloudy forecast for? compton it is not predicted to be cloudy this week in compton thank you you are welcome. great,no problem.
what day and time did i schedule my blood test for,monday at 2pm
on what day and time should i be taking my medicine? taking medicine is scheduled for taking_medicine_date at 3 pm and on the 4th at 1 pm.  thanks.,you're welcome
will it be frost in alhambra in next 48 hours?,"no, it's not gonna be frost in alameda today or tomorrow, the weather forecast calls for drizzle today, and snow tomorrow"
what is the 48 hour forecast for oakland?,"storms and a high of 100f are predicted today in oakland, followed by cloudy weather with a high of 60f"
"what is the forecast for new york city the forecast for today is clear skies with a low of 50f and a high of 70f. okay, will there be clear skies on new_york_thursday? new_york_thursday's forecast calls for rain in new york thank you",you are welcome.
locate my friends address for me.,jill or tom?
"what will the temperature be this weekend for what city would you like the temperature for? san jose, whats the temperature this week? in san jose, it will be 30-50f on monday, 90-100f on tuesday, 50-60f on wednesday, 50-70f on thursday, 60-80f on friday, 30-40f on saturday, and 30-50f on san_jose_sunday. thanks.",you're welcome.
i need to schedule tennis with jon.,when shall i set the reminder for tennis with jon?
navigate to the nearest hotel,there is comfort inn in Comfort_Inn_distance: do you want me to set the gps to go there?
what is the current temperature,for what city would you like to know the temperature?
find me somewhere to park i have a parking garage Palo_Alto_Garage_R_distance away. would you like the name and address to it? yes please.,it is palo alto garage r at Palo_Alto_Garage_R_address.
what time is my meeting at meeting at 3pm thank you,glad to help sir.
"i need a The_Clement_Hotel_traffic_info route to a rest stop.  the route to the clement hotel at 657 ames ave is The_Clement_Hotel_distance and does not have any traffic that's good, let's go there, thank you car!",you are welcome.
"i think i have a friend who lives around here, what is their address, and find me the quickest route there jill's house is 8 miles away at 347 alta mesa ave. would you like directions there?  yes please.  setting navigation now. there is a car collision nearby, so please drive carefully.  thank you.",you're welcome!
what time is the meeting,the meeting is at meeting_time
"please let me know the weather forecast for tomorrow where would you like to hear the forecast from? fresno, please",it will rain tomorrow and be between 90-100f in fresno.
update me on the weekly weather forecast for this week,in what city would you like the weather forecast for?
what is the weather what city and time period are you interested in? fresno for fresno_tuesday. fresno_tuesday is going to be humid with the high near 100 and the lows in the 80s for fresno.  thank you.,you're welcome.
"check the weather for today where are you located? i am in san mateo. today in san mateo is gonna be drizzle, with low temperature of 20f, and high of 40f thank you!",glad i could help out
"i have a meeting at 3 pm, set a reminder.  for what date would you like to set the reminder for? later this week, on friday.  setting a friday reminder of your meeting at 3 pm ok, it is with my boss, to go over the budget","great, i have that meeting scheduled for you!"
please give me directions to a nearby parking garage parking lot we are 2 miles away from dish parking: send you its address on screen? yes.,the address is 550 alester avenue with Dish_Parking_traffic_info.
"show me directions to the nearest starbucks there is no starbucks nearby, but a peets coffee is located Peets_Coffee_distance away. would you like directions there? yes please that sounds good.  setting directions to 9981 archuleta ave, Peets_Coffee_distance away. there's a car collision nearby, so drive carefully.  i will, thank you car!",you're welcome
what day is my meeting?  your meeting is meeting_date at 7 pm.  who is attending? you are attending the meeting with meeting_party.  thank you!,"you're welcome. don't forget it's in meeting_room, and you will be discussing dress code!"
take me to the nearest shopping center,we are Stanford_Shopping_Center_distance away from stanford shopping center: is it good for you?
"give me directions to nearest mall the nearest mall is town and country, Town_and_Country_distance away at 383 university avenue. pick a route to avoid all Town_and_Country_traffic_info and let's go there","unfortunately on the shortest road there is Town_and_Country_traffic_info, i will set up another route, please follow the directions on your screen"
i'm in pain navigate me to the nearest hospital i have two hospitals located 1 mile away. which one would you like to know about? pick the fastest to reach on the quickest route,"then let's go at palo alto medical foundation, there is Palo_Alto_Medical_Foundation_traffic_info on our way and its address is 611 ames ave"
where do i live? your home address is home_address. thanks!,you are welcome!
are there any chinese restaurants here? there is jing jing and pf changs. which has less traffic?,they are the same.
"what's the temperature going to be like this week what location do you want the temperature for? san mateo. this week in san mateo, monday and san_mateo_tuesday have lows in the 20f with highs in the 50f. the rest of the week has high temperatures reaching the 100s alright, thank you",anytime
"how long to the nearest grocery store we're heading at trader joes, 408 university ave, it's Trader_Joes_distance away please pick the quickest route and let's go there, thanks!",follow the directions on your screen and enjoy the trip!
what time is my optometrist appointment and who all will be there?,"your optometrist appointment is at 10am on optometrist_appointment_date, and your father will also be attending."
what is today's forecast in san francisco? there will be hail today. thanks.,you are welcome.
there will be any hail in san francisco on san_francisco_thursday?,there will be no hail in san francisco on san_francisco_thursday.
"will it be stormy in redwood city on redwood_city_wednesday? no, redwood_city_wednesday it will be hot in redwood city thank you.",anytime.
"hello car. hi i want to find out the time and the parties attending my lab appointment please.  your lab_appointment_party will be in attendance at your 3 pm lab appointment great, thanks.",happy to help
"navigate to my friend's home please i do not have an address for your friend's home. well let's go home then.  setting navigation to 56 cadwell street now. it is home_distance away but there is a road block nearby, so drive carefully.  thanks a lot",you're welcome!
is it going to be cloudy in the next 7 days what city would you like to know about being cloudy? mountain view,it will not be cloudy in mountain view this week.
put my optometrist appointment in my calendar,"okay, what time is your optometrist appointment?"
give me the 7 day weather forecast,what city do you need the 7 day forecast for?
car i need to get to a gas station: is there any around me?,chevron is Chevron_distance away.
what's the weather like,what city would you like the weather for?
what's on the agenda for today's meeting,you are meeting with the sales team to meeting_agenda today.
"car i need to go to a grocery store there is a safeway at 452 arcadia place, Safeway_distance away. would you like directions there? yes, please, pick a route to avoid all Safeway_traffic_info i'm afraid the route to safeway currently has Safeway_traffic_info, and it is the only grocery store in the area. proceed? then let's go there car, thank you! ok, setting navigation now.  thanks again car assistant",i'm here for you!
what is the time and location of my next meeting and who will be attending?,your next meeting is at 1pm in conference room 100 with the meeting_party.
"can you set my calendar for football activity at 1pm, the 4th, with tom? okay, setting a reminder for football activity with tom for the 4th at 1pm. thanks.",my pleasure driver!
"set a schedule for dinner at 2pm, sunday with mother. dinner with your mother on sunday at 2pm is added to the schedule  thank you!",have a great day.
i need to set up a reminder to go to the dentist,for what time would you like me to set the reminder?
locate my friend's current address for me. i have an address for jill's house. is that the destination you are looking for? yes,jill's house is located at 347 alta mesa avenue.
schedule a football activity with jon for the 29th at 6pm.,i will schedule a football activity with jon for the 29th at 6pm.
schedule conference.,what details shall i add to your conference reminder?
where are the nearest coffee shops,we're Palo_Alto_Cafe_distance away from starbucks and Palo_Alto_Cafe_distance away from palo alto cafe: where do you prefer to go?
i'm in need of coffee: is there any near my current location?,starbucks and teavana are close.
what is the agenda for the conference?,the purpose of the conference is to conference_agenda.
what time is my next yoga activity and who will be attending? your next yoga activity is with yoga_activity_party at 7pm. thanks for your help.,you are very welcome.
remind me about meeting later what time do you wish me to remind you about the meeting later?  the meeting is at 7 pm,i will remind you about the meeting at 7pm.
can i get the two day weather report,what city would you like to hear the two day weather report from?
what is the date of my next dinner event and who will be attending?,your next dinner event is with your father on dinner_date.
what's the weather like,what city would you like the weather for?
what is the temperature outside,where are you located?
"will it snow in fresno in the next week?  there isn't any snow predicted in fresno next week great, thanks for the assistance.",you are very welcome.
set a date for the next tennis match,what is the date of the next tennis match?
find the nearest gas station near my currently location. there is a valero nearby. can you get me the address please?,valero is at Valero_address.
what time is dinner and who is going?,"you have 3 dinners scheduled, one with alex, one with your sister, and one with your dinner_party."
"what are the directions for the nearest shopping center without traffic? there is no shopping centers close without traffic but i have one that is Topanga_Mall_distance away with a car collision noted on the route. do you want the details? yes, please give me the address and directions via a route that avoids as much heavy traffic as possible.  setting navigation to the topanga mall at 171 oak road now.  thank you car!",your welcome.
who is going to play tennis with me?  tennis_activity_party will be attending your tennis activity what time will we be meeting for this?,at 7 pm.
what is the date of my next doctor appointment and who will be attending?,you have a doctor appointment on thursday with jon and another on doctor_appointment_date with your sister.
"is it going to snow today what city should i check for you? san mateo please. today is gonna be windy in san mateo, with expected low temperature of 40f, and high of 50f thanks so much.",you're welcome. glad i could be of assistance.
where can i go shopping?,stanford shopping center is Stanford_Shopping_Center_distance away.
will it rain anytime in the next week what city would you like to know this information for? camarillo. it will be raining on camarillo_tuesday in camarillo. thanks.,you're welcome.
schedule an appointment with the optometrist on the 12th,appointment has been recorded for the 12th
what time is my appointment today,which appointment are you referring to?
will it be stormy in redwood city on redwood_city_wednesday?,"no, redwood_city_wednesday it will be hot in redwood city"
"set a reminder for a dentist appointment at 5 pm on monday the 1st with my mother. okay, i am scheduling a dentist appointment with your mother for monday the 1st at 5pm. thanks.",you're welcome.
"where are there rest stops? the clement hotel	is The_Clement_Hotel_distance away. what is the address? 657 ames ave, it's The_Clement_Hotel_distance away: do you want me to set the navigation there? thanks, i got it.",you're welcome
where's the nearest parking garage,the nearest parking garage is dish parking at Dish_Parking_address. would you like directions there?
are there chinese restaurants nearby,there is a jing jing nearby.
what is the weather forecast in the city which city are you asking about? i'm going to corona what day are you wanting the forecast for corona? i need the forecast for the whole week if possible.,corona is going to be fairly cold at the beginning of the week with a blizzard in the forecast and rain. the end of the week looks stormy but warmer.
will it be warm in cleveland next week?,it will not be warm in cleveland next week.
what is the weather next week,for which city would you like to know the weather for next week?
"set a reminder on my calendar for football practice at 4:50 pm on august 12th ok, your football practice reminder is set for 4:50 pm on august 12th. thank you.",you are welcome
is there a place that serves coffee near me? there is a philz coffee Philz_distance away. what is the address?,"Philz_address, i sent the info on your screen"
"schedule a swimming activity at 11am today with my father. okay, scheduling a swimming activity with your father for today at 11am. thank you kindly.",you are welcome.
"will it be overcast today in grand rapids? no, today is gonna be foggy in grand rapids thank you",you're welcome
what is the agenda for the conference? the purpose of the conference is to conference_agenda. okay perfect. what day and time is the conference on? the conference is set for conference_date at 3pm.  anything else i should know?,you are meeting with the conference_party in conference room 100.
in boston is it currently misty? currently there are clear skies in boston thank you.,you're welcome.
"hi car, i need to find out the time and date for my dinner please.  your dinner is set for 5 pm on dinner_date.  thanks!",no problem
"set a reminder for a dentist appointment this month on the 11th at 11am, with tom.",a reminder has been set for a dentist appointment this month on the 11th at 11am with tom.
please give me the address and quickest route directions to the nearest gas station.  the closest gas station is 1 mile away at Valero_address. valero has a road block reported nearby.  which one is it the quickest way to reach there?,i have put the quickest route on your screen.
make me an appointment with the optometrist,"ok, scheduling an appointment with the optometrist.  what date and time?"
how warm is it outside right now where are you located? inglewood.,it is between 90-100f in inglewood right now.
when am i supposed to swim tomorrow,"you have a swimming activity on swimming_activity_date, 3pm."
"i think i have a friend who lives around here, what is their address, and find me the quickest route there jill's house is 8 miles away at 347 alta mesa ave. would you like directions there?  yes please.","setting navigation now. there is a car collision nearby, so please drive carefully."
give me the weekly weather forecast,please tell me what city you would like the weather forecast for?
show me directions to the nearest mall,the nearest mall is town and country.
"is there a chance of snow in this weeks weather forecast what city are you asking about? oakland, please! there will be no chance of snow for oakland this week. thank you!",you're welcome!
will it be foggy in menlo park in the next two days?,it will not be foggy in menlo park in the next two days.
"where's the nearest place to get a hot cup of tea there is coupa Coupa_distance away, i heard they make an excellent tea! can you get me the fastest route please?","coupa is only 1 mile away but it has Coupa_traffic_info, will that be alright?"
"set a reminder for the conference with the executive team at 5pm on monday august 7th. ok, conference with executive on august 7th for 5pm is set thanks",you are welcome.
set doctor's appointment for next week,what time is your meeting?
"tell me the closest place to get a cup of hot tea coupa is located Coupa_distance away from here at 394 van ness ave. would you like directions there? is there a coffee shop within 4 miles? if not, please give me directions via the shortest route.  coupa is the only nearby coffee shop, do you want to go there? yes, thank you car, let's go! setting navigation now to coupa.  thank you.",you are welcome!
bring me to the nearest grocery store,there are safeway Safeway_distance away and trader joes 6 miles away: where do you prefer to go?
"give me directions to the closest grocery store we're Safeway_distance away from safeway but there is heavy traffic in this moment: do i set the gps to go there? pick a quick route and let's go there, thank you car!",navigating to safeway.
"is it raining in brentwood now? there is hail coming down in brentwood right now wow, great, thank you",no problem
"find nearest coffee shop the nearest coffee shop is palo alto coffee. could you give me the address please, and the distance from here? palo alto cafe is Palo_Alto_Cafe_distance away at 436 alger drive.  thank you. how is the traffic there?",there is currently Palo_Alto_Cafe_traffic_info on the route.
please give me the address and directions via a route that avoids all heavy traffic to a hospital around here.,stanford childrens health is the only hospital that i can find. it is located at 899 ames ct Stanford_Childrens_Health_distance away
is it supposed to drizzle in danville this danville_thursday?,it will not drizzle in danville on danville_thursday.
you tell me if the forecast for the next week calls for it to be above 86 degrees on any day,what city are you inquiring about?
is there dew on the weekend what city are you inquiring about? san mateo.,there will not be dew this weekend in san mateo.
"give me the 7 day weather forecast what city do you want the weather for? san mateo. it will be warm in the beginning of the week and turn to rain and snow in san mateo next week.  it will be 30-40f monday, 70-80f tuesday, 60-70f wednesday, 30-40f thursday, 90-100f friday, 90-100f saturday, and 40-60f san_mateo_sunday. will it be windy at all next week in san mateo? it will not be windy in san mateo next week. thanks for the info.",anytime.
how hot is it going to be this week,what city would you like weather information for?
is it cloudy today what city would you like to know if it is cloudy in? i want to know about cleveland.  it is foggy in cleveland today. thanks.,you're welcome.
is durham stormy right now?,"yes, it appears as if it is currently stormy in durham."
is it snowing next week,what city would you like to know if it will be snowing in?
find me a local hotel in my area. hotel keen and the clement hotel	 are near. which has less traffic? there is moderate traffic on the way to hotel keen and The_Clement_Hotel_traffic_info to the clement hotel. should we go to hotel keen? yes sounds good.,happy to be of service. directions will begin now.
what are the directions to the nearest hospital the nearest hospital is standford childrens health. what is the address of standford childrens health?,stanford childrens health is at Stanford_Childrens_Health_address.
where can i go to eat,papa johns is located Papa_Johns_distance away at 110 arastradero rd. would you like directions there?
schedule a conference,when and where should i schedule the conference sir?
"give me directions to a place to sleep there are the four seasons hotel Four_Seasons_distance away, and the westin 5 miles from here. which one do you prefer? give me the address of westin. the westin hotel is at 329 el camino real, it's 5 miles away and there is heavy traffic on the route thanks how's the traffic to the four seasons? four seasons has Four_Seasons_traffic_info. is that okay? give me the address to the four seasons instead and set the gps to the quickest route.",the address of the four seasons is Four_Seasons_address.  gps set to the quickest route to the four seasons.
what is the weather like in the city  which city do you want the weather for? will it hail in alameda today?,"today in alameda is gonna be drizzle, with low temperature of 70f, and high of 90f"
"where's the nearest shopping mall the nearest shopping center is the ravenswood shopping center, which is about Ravenswood_Shopping_Center_distance away. did you want to go there? yes please.",setting gps to 434 arastradero road.
"will it be cloudy what city are you located in? in manhattan, will it be cloudy in the next 48 hours? it is not predicted to be cloudy in manhattan in the next 48 hours. good to hear.",have a great week.
please look up the date and time of my swimming activity.,"you have three swimming activities scheduled. one on the 4th at 9am, another on the 12th at 1pm, and the last on swimming_activity_date at 4pm."
please tell me about the time and date my next meeting is scheduled for and what i hope to accomplish it your next meeting is meeting_date at 10am. its purpose is to discuss the merger.  where is the location of the meeting?,the location is the meeting_room.
what's the temperature going to be like this week what city are you inquiring about? san francisco.,"the temperature in san francisco this week will be: low of 90 and a high of 100f on monday, low of 40 and a high of 60f on tuesday, low of 40 and a high of 50f on wednesday, low of 70f and a high of 90f on thursday, low of 20f and a high of 40f on friday, low of 40 and a high of 60f on saturday, and a low of 20 and a high of 30f on san_francisco_sunday."
schedule a reminder for my yoga class at 7pm on my calendar with tom.,what date is that on?
is it going to rain sometime this week what city would you like information about this week's rain? i need to know about san mateo.,"there will be no rain this week in san mateo, just a slight drizzle on san_mateo_thursday."
"where can i find a rest stop? we're Travelers_Lodge_distance away from travelers lodge but there is heavy traffic on our way is there any other options? no, there is not. what is the address? travelers lodge is at Travelers_Lodge_address. want me to set the gps? set gps for the quickest route please. gps set for quickest route to travelers lodge. thank you!",anytime!
can i expect to see clear skies in compton next week?,"i'm sorry, there aren't any days where clear skies are predicted in compton next week."
"will it be cloudy in los angeles on los_angeles_thursday? it's not gonna be cloudy in los angeles on los_angeles_thursday, the weather forecast calls for hail thank you you are welcome. bye. you're welcome. bye.",goodbye!
update me on the weekly weather forecast for this week what location are you interested in? menlo park thanks,"in menlo park, it will be the overcast on monday, hail on tuesday, warm on wednesday, clear on thursday, hail on friday, windy on saturday, and misty on menlo_park_sunday."
"give me directions home i am sorry, but i don't see the address for home in your information. can you provide the address please? 123 elm st","thank you, i've set my gps, you should arrive in just few minutes"
what is the weather forecast like in the city,what city would you like the forecast for?
check to see if there will be rain today or tomorrow in alameda,there will be a drizzle today in alameda.
"remind me about going swimming on the 7th with dad, at 2 pm setting a reminder about your swimming activity on the 7th with your father, at 2 pm thank you.",you're welcome
"find home address for me within 4 miles. your home is at home_address. please pick the shortest distance to get there, thank you!",set gps to home at 56 caldwell street. have a great day.
confirm that the meeting for the 12th this month is on at approximately 5 pm,your meeting is scheduled for the 12th of this month at approximately at 5 pm.
find me the closest parking garage. the closest parking garage is dish parking and it is Dish_Parking_distance away. what is the address?,dish parking's address is Dish_Parking_addressnue. do you want me to set the gps?
does the local forecasts say it'll be cloudy,what city do you want the weather for?
"what is the forecast for today and tomorrow which city in particular are you wanting to know the weather for? oakland, specifically i need to know if it will be overcast.","the weather is supposed to be rainy and then foggy, respectively, does that help?"
please guide me to the closest parking garage.  the nearest parking garage is civic center garage at 270 altaire walk Civic_Center_Garage_distance away. please be aware that a road block has been reported. thank you you're welcome. drive carefully.  thanks once again,you're welcome.
"is it gonna be misty in corona on corona_monday? dew is predicted on corona_monday in corona. great, thanks",glad i could help out
i need the quickest route to a gas station please.  the quickest route to a gas station is through Valero_traffic_info. would you like more info? yes please send me the address and how's the traffic?,valero is at 200 alester ave and there is Valero_traffic_info.
car what is the date and time of my next appointment with my optometrist,your optometrist appointment is optometrist_appointment_date at 7 pm
what is my adress?,you live at 10 ames street.
car what is the temperature going to be today and tomorrow,what city do you want to hear today and tomorrow's temperature for?
in new york will it be foggy this week?,the weather is not predicted to be foggy in new york this week
"where can i get gas? i have a couple gas stations listed. which one would you like to know about? pick the quickest one to reach, the one in the shortest distance",chevron is the closest gas station.
"show me the nearest shopping mall we are Stanford_Shopping_Center_distance away from stanford shopping center: does it sound good to you? give me the address. the address is Stanford_Shopping_Center_address, i sent it on your screen set gps for a route without any traffic.",there is Stanford_Shopping_Center_traffic_info but you should be able to reach it fast anyway
"can you please take me to a coffee house you best bet for coffee is Coupa_distance away at coupa located at 394 van ness ave.  what is the traffic like, and can you send me directions? there is Coupa_traffic_info on the way to coupa at 394 van ness ave. anything else? that's is, please set the gps to go there, thank you!",setting route.
is it cloudy in the next 7 days where are you located? corona,no it will not be cloudy in corona over the next 7 days
please give me directions to a nearby parking garage parking lot,"the closest parking garage is dish parking at 550 alester ave, Dish_Parking_distance away. setting directions now."
"what is the weather going to be today and tomorrow what city would you like the weather for? compton, please!",it will be between 70-90f on monday and 90-100f on compton_tuesday in compton.
check weather where would you like me to check the weather for? mountain view for the next 7 days please.  what would you like to know about the weather in mountain view over the the next 7 days? will it be overcast? it will not be overcast in mountain view this week. thanks.,no problem.
car i want to have some tea! is there anything in the area?,"there is philz, teavana, and cafe venetia."
what is the weather forecast in the city what city should i check the weather forecast for? boston for what day would you like the forecast in boston for? the next 7 days,"in boston, it will be clear and humid monday and tuesday, snowy and windy wednesday and thursday, hot on friday and boston_sunday, and drizzling on saturday.,"
give me this week's high temperature what city would you like to know the temperature of? redwood city it will reach 100f on both wednesday and redwood_city_friday in redwood city. thanks.,i'm here for you!
"is it going to snow in the next week what city would you like this information on? will it snow in menlo park? it will not be snowing in menlo park this week! okay, thank you!",no problem!
"where is the nearest grocery store the nearest grocery store is trader joes, which is at 408 university ave (about Trader_Joes_distance away). how is the traffic? i need the least amount of traffic. there is Trader_Joes_traffic_info now, the address is 408 university ave and i've already set the gps to go there thank you.",you're very welcome!
locate a place where i could purchase groceries that is near me.,whole foods and trader joes are close.
"what is the weather going to be like tomorrow show me the 7 day forecast what city shall i look the 7 day forecast in? sorry, i actually need to know what the highest temperature will be in corona tomorrow.",the high temperature for corona tomorrow is supposed to be about 100f.
"what's the temperature what location do you want the temperature for? i need to know the temperature for seattle on seattle_monday car.  seattle_monday;s temperature will be a low of 30f, high of 50f. thanks.",anytime!
"i need a reminder for a yoga activity at 7 pm on thursday with jeff. okay, scheduling a reminder for a yoga activity with jeff for thursday at 7pm. thank you for your help.",you are welcome.
there will be any hail in san francisco on san_francisco_thursday? there will be no hail in san francisco on san_francisco_thursday. thanks.,anytime!
"car, will you schedule a doctor's appointment for me? set it for 11 am, tomorrow, with jon. i sure will. it's all set! anything else? no, thank you so much!","okay, i will schedule your doctor appointment with jon for tomorrow at 11 am."
will it be dry in durham on durham_sunday?,"it should rain in durham on durham_sunday, it will not be dry"
"set a reminder for dentist appointment at 5 pm on the 2nd with ana.  okay, scheduling a dentist appointment with ana for the 2nd at 5pm. thanks a million.",anytime.
what is the weather forecast like in the city,what city would you like the forecast for?
is it going to snow today,where are you wanting to know if it's going to snow? what city?
"find me a nearby tea or coffee shop cafe venetia is the only spot i can find. it is Cafe_Venetia_distance away and there is a road block nearby try to find a route to reach there with the shortest distance please! i sent the directions on your screen, drive carefully! thank you car!",anytime!
schedule yoga with marie at 4pm on the 5th of this month setting a reminder for yoga with marie on the 5th of this month at 4 pm. thanks. you are welcome. anything else? that's all for now.,thank you.
what will the temperature be for the next week where would you like to hear the temperature from? alhambra,the temperature for alhambra for the week include the highs near 100 and lows in the 40s.
"what's the weather going to be today and also what is the weather going to be this week what location who you like the weather for? i need weather information for today, especially about the temperature, for downtown chicago. it will be between 80-90f in chicago today. thank you",glad to help
what's the lowest temperature in redwood city this week? it will be 30f in redwood city on redwood_city_monday. thanks.,"you're welcome, anything else?"
where is there a hospital around me?,we're Stanford_Express_Care_distance away from stanford express care: do you want me to set the gps to go there?
"where can i get groceries? sigona farmers market sells groceries. is it within 5 miles, by chance?","yes, it is only Sigona_Farmers_Market_distance away."
get the address to my home that is within 3 miles and hurry.,"your home is home_distance away, i sent its position on your screen, drive carefully!"
schedule a swimming activity at 11am today with my father.,"okay, scheduling a swimming activity with your father for today at 11am."
"what time is my optometrist appointment and who will be going? do you mean your optometrist appointment on sunday or optometrist_appointment_date? i am not sure. what days are those? the one at 7pm is on sunday and martha will be attending, and the one at 9am is on optometrist_appointment_date and jeff will be attending.. thanks.",you are welcome.
"car i need a parking garage in the shortest distance, please help me! stanford oval parking is 1 mile away. what is the address?",the address to stanford oval parking is Stanford_Oval_Parking_address.
"there will be any overcast in oakland on next weekend? it will not be overcast in oakland next weekend. okay, thank you",have a great day and you're welcome.
"how hot is it going to be this week which location do you want the weather for? downtown chicago, please","in downtown chicago this week it will be stormy on monday, foggy on tuesday, rainy on wednesday, lowest temperature on thursday, humid on friday, drizzle on saturday, clear skies on downtown_chicago_sunday"
"what time does my next dinner gathering start and who will be attending? your next dinner gathering is dinner_date at 7 pm with marie. ok, will anyone else be attending? no, just martha.  ok, thanks.","you're welcome, goodbye."
"find me the closest coffee shop on the map there are palo alto cafe and starbucks Starbucks_distance away: which one do you prefer? which one is it the best location with the quickest route? palo alto cafe and starbucks both have Starbucks_traffic_info and are the same distance. which do you prefer? let's go at starbucks, thank you car!","you're welcome, all the info are on your screen!"
start listening what will be the weather for the week what city do you want the weather for? durham please.,"in durham, it will be between 80-100f monday to wednesday, 30-40f thursday, 40-60f friday, 90-100f saturday, and 60-70f on durham_sunday."
what's the temperature going to be for the week,where do you want to know the temperature for?
is it gonna frost today in cleveland? the weather forecast calls today for lowest temperature in cleveland thank you car!,glad to help
what is the local weather forecast for this week for what city would you like the weekly forecast for? will it be humid in new york? it will not be humid in new york this week. thank you.,you're welcome!
is it raining today in grand rapids?,it is not raining today in grand rapids.
find out if it will be cloudy on cleveland_monday in cleveland.,it will be clear on cleveland_monday in cleveland.
which one is gonna be the highest temperature tomorrow in durham?,the highest temperature in durham is predicted to be 50 tomorrow
what's the weather forecast,what city can i give you the weather forecast for?
