,inputs,outputs,predictions
2375,i have to go grocery shopping can you give me directions to the nearest grocery store,the closest grocery store is Sigona_Farmers_Market_distance away. would you like the name and address of it?,<pad> <pad> <pad> <pad> closest the nearest is the nearest whole you which willows name would you like <unk> <eos>
2376,i have to go grocery shopping can you give me directions to the nearest grocery store the closest grocery store is Sigona_Farmers_Market_distance away. would you like the name and address of it? yes and please tell me if there is any traffic,"let's go at sigona farmers market, it's Sigona_Farmers_Market_distance away at 638 amherst st and, in this moment, there is no traffic",<pad> <pad> <pad> <pad> it's Sigona_Farmers_Market_distance away at 638 amherst st and in this moment there is no traffic <eos>
2377,"i have to go grocery shopping can you give me directions to the nearest grocery store the closest grocery store is Sigona_Farmers_Market_distance away. would you like the name and address of it? yes and please tell me if there is any traffic let's go at sigona farmers market, it's Sigona_Farmers_Market_distance away at 638 amherst st and, in this moment, there is no traffic thanks a lot.",you're very welcome. have a great day.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you're very welcome have a great day <eos>
2378,where is there a coffee or tea place around. find me one that will get me there the quickest with the least traffic,teavana would be the closest one. wold you like directions to this location,<pad> <pad> <pad> <pad> <pad> <pad> teavana would be have closest one wold you like directions to this location <eos>
2379,"where is there a coffee or tea place around. find me one that will get me there the quickest with the least traffic teavana would be the closest one. wold you like directions to this location yes please tell me the route, traffic, and where it is.",there is Teavana_traffic_info to teavana at 145 amherst st.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> there is Teavana_traffic_info to teavana at 145 amherst st <eos>
2380,"where is there a coffee or tea place around. find me one that will get me there the quickest with the least traffic teavana would be the closest one. wold you like directions to this location yes please tell me the route, traffic, and where it is. there is Teavana_traffic_info to teavana at 145 amherst st. ok, map a route to teavana and let's go",gps set to teavana.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> gps <pad> to teavana <eos>
2381,"where is there a coffee or tea place around. find me one that will get me there the quickest with the least traffic teavana would be the closest one. wold you like directions to this location yes please tell me the route, traffic, and where it is. there is Teavana_traffic_info to teavana at 145 amherst st. ok, map a route to teavana and let's go gps set to teavana.  thank you for the help.","you're welcome, have a safe trip.",<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you're welcome have a safe trip <eos>
2382,what day is my next meeting we will it end and what are we going to do,"your meeting is at 7 pm, it is to meeting_agenda.",<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> your meeting is at 7 pm it is to meeting_agenda <eos>
2383,"good day car, i would like to schedule a meeting at 9 am, next wednesday with management to discuss the merger.","great, i have just scheduled that meeting for you. is there anything else i can do?",<pad> <pad> <pad> great i have just scheduled that meeting for you is there anything else i can <unk> <eos>
2384,"good day car, i would like to schedule a meeting at 9 am, next wednesday with management to discuss the merger.  great, i have just scheduled that meeting for you. is there anything else i can do? no, thank you!",no problem,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> no problem <eos>
2385,"car i need to get to my friends house, it should be within jacks_house_distance from here",jacks house is jacks_house_distance away at 864 almanor ln.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> jacks house is jacks_house_distance away at 864 almanor ln <eos>
2386,"car i need to get to my friends house, it should be within jacks_house_distance from here jacks house is jacks_house_distance away at 864 almanor ln. set my navigation to jacks for the shortest route possible.",setting navigation now.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> setting navigation now <eos>
2387,"car i need to get to my friends house, it should be within jacks_house_distance from here jacks house is jacks_house_distance away at 864 almanor ln. set my navigation to jacks for the shortest route possible. setting navigation now.  thanks.",you're welcome and be careful.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you're welcome and be careful <eos>
2388,when is my tennis match?,your tennis activity is on tennis_activity_date at 11 am.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> on is at at 9am <eos>
2389,when is my tennis match? your tennis activity is on tennis_activity_date at 11 am. thanks.,your other tennis activities are on tennis_activity_date at 5 pm and on monday at 1 pm.,<pad> <pad> <pad> <pad> other tennis activities are on tennis_activity_date at 5 pm and on monday at 1 pm <eos>
2390,car i need a parking garage within 5 miles of my current position,civic center garage is Civic_Center_Garage_distance away: do you want me to set the gps to get there?,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> want me to set the gps to get <unk> <eos>
2391,"car i need a parking garage within 5 miles of my current position civic center garage is Civic_Center_Garage_distance away: do you want me to set the gps to get there? where is civic center garage, can i get there while avoiding all heavy traffic?","in this moment there is Civic_Center_Garage_traffic_info on our way, i will pick for you the fastest route",<pad> <pad> in this moment there is Civic_Center_Garage_traffic_info on our way i will pick for you the fastest route <eos>
2392,"car i need a parking garage within 5 miles of my current position civic center garage is Civic_Center_Garage_distance away: do you want me to set the gps to get there? where is civic center garage, can i get there while avoiding all heavy traffic? in this moment there is Civic_Center_Garage_traffic_info on our way, i will pick for you the fastest route thanks so much and set the gps.",you're welcome and the gps is set.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you're welcome and the gps is set <eos>
2393,what's the forecast for today,what city can i give you the forecast from?,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you you the what <unk> <eos>
2394,"what's the forecast for today what city can i give you the forecast from? inglewood, please. is it gonna be windy today?",it will not be windy in inglewood today.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> it will not be windy in inglewood today <eos>
2395,"what's the forecast for today what city can i give you the forecast from? inglewood, please. is it gonna be windy today? it will not be windy in inglewood today. thanks.",no problem!,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> no <unk> <eos>
2396,please schedule a reminder for my doctor appointment at 11am on august 3rd with alex.,i am scheduling a doctor appointment on august 3rd at 11 am with alex.,<pad> <pad> <pad> <pad> <pad> i am scheduling a doctor appointment on august 3rd at 11 am with alex <eos>
2397,"please schedule a reminder for my doctor appointment at 11am on august 3rd with alex. i am scheduling a doctor appointment on august 3rd at 11 am with alex.  ok, thank you.",happy to help,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> happy to help <eos>
2398,navigate me to the nearest hotel,there is no hotel listed that is near you.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you listed that to near fast <eos>
2399,navigate me to the nearest hotel there is no hotel listed that is near you.  i need a rest stop that is quick and near me.,the closest rest stop is the westin.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> the closest rest stop is the westin <eos>
2400,navigate me to the nearest hotel there is no hotel listed that is near you.  i need a rest stop that is quick and near me. the closest rest stop is the westin. could you please give me the address and set the navigation there?,the address for the westin is The_Westin_address and the gps has been set.,<pad> <pad> <pad> <pad> <pad> <pad> the address for the westin is The_Westin_address and the gps has been set <eos>
2401,navigate me to the nearest hotel there is no hotel listed that is near you.  i need a rest stop that is quick and near me. the closest rest stop is the westin. could you please give me the address and set the navigation there? the address for the westin is The_Westin_address and the gps has been set.  thanks so much.,you are welcome,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you are welcome <eos>
2402,what is the forecast for this week,what city do you want the forecast for?,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> city do you want you forecast <unk> <eos>
2403,what is the forecast for this week what city do you want the forecast for? is it going to be hot this week? in los angeles?,tuesday and los_angeles_wednesday should be hot days in los angeles this week with highs in the 90s and 100s,<pad> <pad> <pad> tuesday seattle_friday hot days in los angeles this week with highs should the 90s and 100s <eos>
2404,what is the forecast for this week what city do you want the forecast for? is it going to be hot this week? in los angeles? tuesday and los_angeles_wednesday should be hot days in los angeles this week with highs in the 90s and 100s thanks,you are most welcome.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you are most welcome <eos>
2405,what is the forecast for this week what city do you want the forecast for? is it going to be hot this week? in los angeles? tuesday and los_angeles_wednesday should be hot days in los angeles this week with highs in the 90s and 100s thanks you are most welcome.  great.,glad to help,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> glad to help <eos>
2406,"set a reminder for a dentist appointment this month on the 11th at 11am, with tom.",a reminder has been set for a dentist appointment this month on the 11th at 11am with tom.,<pad> <pad> <pad> <pad> <pad> <pad> scheduling a dentist appointment this month on the 11th at 11am with tom <eos>
2407,"set a reminder for a dentist appointment this month on the 11th at 11am, with tom. a reminder has been set for a dentist appointment this month on the 11th at 11am with tom. thank you.",anytime!,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <unk> <eos>
2408,what's the forecast in brentwood for brentwood_sunday?,brentwood_sunday in brentwood is the weather should be rainy with a low of 60f and high of 70f,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> give you and high of 70f <eos>
2409,what's the forecast in brentwood for brentwood_sunday? brentwood_sunday in brentwood is the weather should be rainy with a low of 60f and high of 70f thank you car!,you're welcome,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you're welcome <eos>
2410,what's the weather like in grand rapids,what can i tell you about grand rapids weather?,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you what and downtown chicago rapids <unk> <eos>
2411,what's the weather like in grand rapids what can i tell you about grand rapids weather? if it will be misty over the next two days,"drizzle is predicted in grand rapids, followed by clear skies",<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> drizzle is predicted in grand rapids followed by clear skies <eos>
2412,"what's the weather like in grand rapids what can i tell you about grand rapids weather? if it will be misty over the next two days drizzle is predicted in grand rapids, followed by clear skies  thank you car!",anytime!,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <unk> <eos>
2413,i need a parking garage that is in the 2 mile range.,there are none within 2 miles.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> will <pad> <pad> <pad> <pad> there are none within 2 miles <eos>
2414,i need a parking garage that is in the 2 mile range. there are none within 2 miles. what is the closest?,the closest is palo alto garage r which is Palo_Alto_Garage_R_distance away.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> the closest is palo alto garage r which is Palo_Alto_Garage_R_distance away <eos>
2415,"i need a parking garage that is in the 2 mile range. there are none within 2 miles. what is the closest? the closest is palo alto garage r which is Palo_Alto_Garage_R_distance away.  sounds good, set the navigation for there please.","navigation set, have a great day.",<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> set have a great day <eos>
2416,directions to local cafe,the nearest cafe is 1 mile away. would you like the name and address of it?,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you you like as <unk> <eos>
2417,directions to local cafe the nearest cafe is 1 mile away. would you like the name and address of it? yes and please provide the quickest route.,the coffee shop is named palo alto cafe and located at Palo_Alto_Cafe_addressive.,<pad> <pad> should <pad> <pad> <pad> <pad> the coffee shop is named palo alto cafe and located at <unk> <eos>
2418,directions to local cafe the nearest cafe is 1 mile away. would you like the name and address of it? yes and please provide the quickest route. the coffee shop is named palo alto cafe and located at Palo_Alto_Cafe_addressive.  thank you car!,you're welcome!,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you're <unk> <eos>
2419,please give me the address and directions via a quick route to my friend's house.,"jills house is located at 347 alta mesa ave, jills_house_distance away. there is currently a road block nearby. setting directions now.",<pad> <pad> <pad> <pad> <pad> coffee is located is Peets_Coffee_address 1 mesa ave i sent it on your map <eos>
2420,"please give me the address and directions via a quick route to my friend's house.  jills house is located at 347 alta mesa ave, jills_house_distance away. there is currently a road block nearby. setting directions now.  thank you.",you're welcome. have a good day.,our <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you're welcome have a good day <eos>
2421,how is the weather in the city this weekend,what city should i look up the weekend forecast for?,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> should i look up the weekend weather <unk> <eos>
2422,how is the weather in the city this weekend what city should i look up the weekend forecast for? boston.,it will be cloudy on saturday and hail on boston_sunday in boston.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> it will be cloudy on saturday and hail on boston_sunday in boston <eos>
2423,how is the weather in the city this weekend what city should i look up the weekend forecast for? boston. it will be cloudy on saturday and hail on boston_sunday in boston. thank you car!,you are welcome.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you are welcome <eos>
2424,"hi, what time and date is my swimming activity?",your swimming activity is on swimming_activity_date at 5 pm.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> your swimming activity is on swimming_activity_date at 5 pm <eos>
2425,check the next 48 hours and tell me if it's supposed to be stormy in san francisco,it will not be stormy in san francisco this week.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> it will not be stormy in san francisco this week <eos>
2426,check the next 48 hours and tell me if it's supposed to be stormy in san francisco it will not be stormy in san francisco this week. thank you.,you're welcome.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you're welcome <eos>
2427,info for lab appointment,"your lab appointment is on lab_appointment_date at 1 pm, marie will be attending.",<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you marie will be attending <eos>
2428,"info for lab appointment your lab appointment is on lab_appointment_date at 1 pm, marie will be attending. thank you",you are welcome,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you are welcome <eos>
2429,is durham stormy right now?,"yes, it appears as if it is currently stormy in durham.",<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> i currently cloudy <pad> durham <eos>
2430,"is durham stormy right now? yes, it appears as if it is currently stormy in durham. thank you",glad i could help out,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you i could help out <eos>
2431,what is the date of my next doctor appointment and who will be attending it with me?,your next doctor appointment is scheduled for doctor_appointment_date at 10am with your mother.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> doctor appointment is scheduled for doctor_appointment_date at 10am with your mother <eos>
2432,what is the date of my next doctor appointment and who will be attending it with me? your next doctor appointment is scheduled for doctor_appointment_date at 10am with your mother. thanks!,you are welcome.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you are welcome <eos>
2433,take me to the nearest shopping center,"i've set the route to midtown shopping center, 338 alester ave, it's Midtown_Shopping_Center_distance away",<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> away whole foods and called topanga mall <eos>
2434,"take me to the nearest shopping center i've set the route to midtown shopping center, 338 alester ave, it's Midtown_Shopping_Center_distance away thanks.",you're welcome!,<pad> <pad> screen <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you're <unk> <eos>
2435,schedule swimming.,what day and time should i schedule your swimming?,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you you the your <unk> <eos>
2436,schedule swimming.  what day and time should i schedule your swimming? on the 11th at 3 pm with tom.,you are now scheduled to meet with tom on the 11th at 3pm for swimming.,<pad> <pad> <pad> <pad> you are now scheduled to meet with tom on the 11th at 3pm for swimming <eos>
2437,"schedule swimming.  what day and time should i schedule your swimming? on the 11th at 3 pm with tom. you are now scheduled to meet with tom on the 11th at 3pm for swimming. thanks, i appreciate it!",you are welcome,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you are welcome <eos>
2438,schedule a reminder about a doctor appointment with my mother at 11am on the 7th of this month.,"okay, scheduling a reminder for your doctor appointment at 11am on the 7th of this month with your mother.",<pad> <pad> a reminder for your doctor appointment at 11am on the 7th of this month with your mother <eos>
2439,"schedule a reminder about a doctor appointment with my mother at 11am on the 7th of this month. okay, scheduling a reminder for your doctor appointment at 11am on the 7th of this month with your mother. thanks.",i'm here to serve.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> i'm here to serve <eos>
2440,"what is the date, agenda, and time of my next meeting.","for which one? i have two in your calendar, one on meeting_date to discuss the company picnic at 10 am, the other is the 18th to go over budget at 3pm.",<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> your next 18th to go over budget at 3pm <eos>
2441,find me a nearby tea or coffee shop,cafe venetia is the only spot i can find. it is Cafe_Venetia_distance away and there is a road block nearby,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> and there stanford there the like the <unk> <eos>
2442,find me a nearby tea or coffee shop cafe venetia is the only spot i can find. it is Cafe_Venetia_distance away and there is a road block nearby try to find a route to reach there with the shortest distance please!,"i sent the directions on your screen, drive carefully!",<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> i sent the directions on your screen drive <unk> <eos>
2443,"find me a nearby tea or coffee shop cafe venetia is the only spot i can find. it is Cafe_Venetia_distance away and there is a road block nearby try to find a route to reach there with the shortest distance please! i sent the directions on your screen, drive carefully! thank you car!",anytime!,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <unk> <eos>
2444,will it be cloudy,what city are you located in?,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you are you information <unk> <eos>
2445,"will it be cloudy what city are you located in? in manhattan, will it be cloudy in the next 48 hours?",it is not predicted to be cloudy in manhattan in the next 48 hours.,<pad> <pad> <pad> <pad> <pad> it is not predicted to be cloudy in manhattan in the next 48 hours <eos>
2446,"will it be cloudy what city are you located in? in manhattan, will it be cloudy in the next 48 hours? it is not predicted to be cloudy in manhattan in the next 48 hours. good to hear.",have a great week.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> have a great week <eos>
2447,find what the temperature will be in downtown chicago this weekend.,it will be between 30-60f in chicago this weekend.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> it will be between <unk> in chicago this weekend <eos>
2448,find what the temperature will be in downtown chicago this weekend. it will be between 30-60f in chicago this weekend. thanks.,anytime.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> anytime <eos>
2449,does the forecast say it will snow,what city do you want to know the forecast for?,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> want want to know snow forecast <unk> <eos>
2450,does the forecast say it will snow what city do you want to know the forecast for? will it snow in seattle today?,it will not snow in seattle today.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> it will not snow in seattle today <eos>
2451,does the forecast say it will snow what city do you want to know the forecast for? will it snow in seattle today? it will not snow in seattle today. thanks for the help.,"you're welcome, i'm here to assist you!",<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you're welcome i'm here to assist <unk> <eos>
2452,where does my friend live?,"you have two friends listed, tom and jill. which one do you want to see?",<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you friend you speak <unk> <eos>
2453,"where does my friend live? you have two friends listed, tom and jill. which one do you want to see? i want to see kill, give me the address wirth directions and the fastest route",jill's house is at 347 alta mesa ave. there is a car collision nearby but i sent you another route to get there,<pad> alta mesa ave there is a car collision nearby but i sent you another route to get there <eos>
2454,"where does my friend live? you have two friends listed, tom and jill. which one do you want to see? i want to see kill, give me the address wirth directions and the fastest route jill's house is at 347 alta mesa ave. there is a car collision nearby but i sent you another route to get there i hope it's the fastest one.. thank you car!","you're welcome, have a good day.",<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you're welcome have a good day <eos>
2455,will it be stormy in exeter on exeter_wednesday?,"no, it's not gonna be stormy in exeter on exeter_wednesday, the weather forecast calls for it to be cloudy",<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> will not be cloudy in to be cloudy <eos>
2456,"will it be stormy in exeter on exeter_wednesday? no, it's not gonna be stormy in exeter on exeter_wednesday, the weather forecast calls for it to be cloudy thank you.",glad i could help out,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> glad i could help out <eos>
2457,bring me to the nearest starbucks,"there are no starbucks nearby but we could go to palo alto cafe, it's Palo_Alto_Cafe_distance away",<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> palo 1 mile it's at away <eos>
2458,"bring me to the nearest starbucks there are no starbucks nearby but we could go to palo alto cafe, it's Palo_Alto_Cafe_distance away sure, pick the quickest route and bring me there please","palo alto cafe has Palo_Alto_Cafe_traffic_info, would you like the address anyway?",<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> palo alto cafe has Palo_Alto_Cafe_traffic_info would you like the address <unk> <eos>
2459,"bring me to the nearest starbucks there are no starbucks nearby but we could go to palo alto cafe, it's Palo_Alto_Cafe_distance away sure, pick the quickest route and bring me there please palo alto cafe has Palo_Alto_Cafe_traffic_info, would you like the address anyway? yes, give me the address please.",palo alto cafe is located at 436 alger drive with Palo_Alto_Cafe_traffic_info. is that going to be a problem?,<pad> palo alto cafe is located at 436 alger dr with Palo_Alto_Cafe_traffic_info is that going to be a <unk> <eos>
2460,"bring me to the nearest starbucks there are no starbucks nearby but we could go to palo alto cafe, it's Palo_Alto_Cafe_distance away sure, pick the quickest route and bring me there please palo alto cafe has Palo_Alto_Cafe_traffic_info, would you like the address anyway? yes, give me the address please. palo alto cafe is located at 436 alger drive with Palo_Alto_Cafe_traffic_info. is that going to be a problem? no set the gps for palo alto cafe please.","ok, palo alto cafe it is.",<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> ok palo alto cafe it is <eos>
2461,when is my dentist appointment and who is coming?,you have two dentist appointments scheduled. one on thursday with your father and the other is on dentist_appointment_date with alex.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> one one 4pm and is on dentist_appointment_date with alex <eos>
2462,what day do i need to take my medicine and who will be there?,your aunt will be there on tuesday at 10 am when you take medicine,<pad> <pad> <pad> <pad> <pad> <pad> aunt will be there on tuesday at 10 am when you take medicine <eos>
2463,"what day do i need to take my medicine and who will be there? your aunt will be there on tuesday at 10 am when you take medicine okay, perfect.",you are welcome,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you are welcome <eos>
2464,take me to the closest starbucks,there are no starbucks nearby. would yo like another coffee shop?,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> away would you 773 alger <unk> <eos>
2465,"take me to the closest starbucks there are no starbucks nearby. would yo like another coffee shop?  yes, what else is there?","there is one place 1 mile away, peets coffee, would you like the address?",<pad> <pad> <pad> <pad> <pad> there is one place 1 mile away peets coffee would you like the <unk> <eos>
2466,"take me to the closest starbucks there are no starbucks nearby. would yo like another coffee shop?  yes, what else is there? there is one place 1 mile away, peets coffee, would you like the address? yes, please, and pick a route with no traffic",there is Peets_Coffee_traffic_info on our way but you should be able to reach the cafe in short time. i sent the info on your screen,<pad> <pad> <pad> be able to reach the cafe in short time i be the info on your screen <eos>
2467,"take me to the closest starbucks there are no starbucks nearby. would yo like another coffee shop?  yes, what else is there? there is one place 1 mile away, peets coffee, would you like the address? yes, please, and pick a route with no traffic there is Peets_Coffee_traffic_info on our way but you should be able to reach the cafe in short time. i sent the info on your screen thank you car!",you're welcome!,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you're <unk> <eos>
2468,what is the date of my next medicine event and who will be attending?,for which one? i have one on friday with father and one on monday with jon.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> your with father with one and one on monday with jon <eos>
2469,"what is the date of my next medicine event and who will be attending? for which one? i have one on friday with father and one on monday with jon. that is all, thanks.",glad to help,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> glad to help <eos>
2470,i have an eye doctors appointment on the 12th at 5 pm,ok setting reminder for your eye doctor appointment on the 12th at 5,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> what for your eye doctor appointment on the 12th at 5 <eos>
2471,remind me about my optometrist appointment with jon at 2 pm at the end of march,"okay perfect, i will be sure to remind you of that. can i help you with anything else?",<pad> <pad> <pad> <pad> will be sure to remind you of that can i help you with anything <unk> <eos>
2472,"remind me about my optometrist appointment with jon at 2 pm at the end of march okay perfect, i will be sure to remind you of that. can i help you with anything else? that'll be all.",you're welcome,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you're welcome <eos>
2473,on what date is my doctor's appointment and who is going?,your doctor's appointment is on the 5th with alex.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> date <pad> your doctor's appointment is on the 5th with alex <eos>
2474,"on what date is my doctor's appointment and who is going? your doctor's appointment is on the 5th with alex. great, thanks.",you are welcome.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you are welcome <eos>
2475,"set a reminder for my lab appointment at 2pm, this tuesday with father.","alright, i have set the reminder for your lab appointment with your father for 2pm on this tuesday.",<pad> <pad> <pad> <pad> <pad> <pad> <pad> setting reminder lab appointment with your father for 2pm on this tuesday <eos>
2476,what is the temperature going to be like this week,what city are you in?,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> will location <pad> what city are you <unk> <eos>
2477,what is the temperature going to be like this week what city are you in? danville!,the temperature forecast for this week for danville is highs near 100 and lows in the 30s.,<pad> <pad> <pad> <pad> <pad> <pad> this week for danville is highs near 100 and lows in the 30s <eos>
